invoice_id,vendor_name,invoice_date,product_description,product_category,unit_price,quantity,total_amount,part_number,specifications,payment_date,purchase_order,department,notes
INV001,TechSupply Corp,2023-01-15,"Dell OptiPlex 7090 Desktop Computer",Computer Hardware,899.99,25,22499.75,D7090-DT-001,"Intel i7-11700, 16GB RAM, 512GB SSD, Windows 11 Pro",2023-02-14,PO-2023-001,IT Department,Bulk discount applied
INV002,Global Electronics Ltd,2023-01-20,"HP ProBook 450 G9 Laptop",Computer Hardware,749.99,50,37499.50,HP-PB450-G9,"Intel i5-1235U, 8GB RAM, 256GB SSD, 15.6 inch display",2023-02-19,PO-2023-002,Engineering,Standard pricing
INV003,ServerMax Solutions,2023-02-01,"Dell PowerEdge R750 Server",Server Hardware,4299.99,10,42999.90,PE-R750-001,"Dual Intel Xeon Silver, 64GB RAM, 2TB SSD, RAID controller",2023-03-03,PO-2023-003,Data Center,Enterprise discount
INV004,NetworkPro Inc,2023-02-10,"Cisco Catalyst 9300 Switch",Network Equipment,3599.99,15,53999.85,C9300-48P,"48-port Gigabit, PoE+, Layer 3 switching, stackable",2023-03-12,PO-2023-004,Network Team,Volume pricing
INV005,Office Essentials,2023-02-15,"Ergonomic Office Chair",Office Furniture,299.99,100,29999.00,EOC-2023-PRO,"Adjustable height, lumbar support, mesh back, 5-year warranty",2023-03-17,PO-2023-005,Facilities,Bulk order discount
INV006,TechSupply Corp,2023-03-01,"Dell OptiPlex 3090 Desktop Computer",Computer Hardware,649.99,40,25999.60,D3090-DT-001,"Intel i5-11500, 8GB RAM, 256GB SSD, Windows 11 Pro",2023-03-31,PO-2023-006,IT Department,Lower spec model
INV007,CloudServices Pro,2023-03-10,"Microsoft Office 365 Business Premium",Software License,22.00,500,11000.00,O365-BP-2023,"Per user per month, includes Teams, SharePoint, Exchange",2023-04-09,PO-2023-007,IT Department,Annual commitment
INV008,Industrial Supply Co,2023-03-15,"Forklift - Toyota 8FGU25",Industrial Equipment,28999.99,5,144999.95,TOYOTA-8FGU25,"2.5 ton capacity, propane powered, side shift, warranty",2023-04-14,PO-2023-008,Warehouse,Fleet purchase
INV009,NetworkPro Inc,2023-04-01,"Cisco Meraki MR46 Access Point",Network Equipment,449.99,30,13499.70,MR46-AP-001,"Wi-Fi 6, cloud managed, indoor, 2.4/5 GHz dual band",2023-05-01,PO-2023-009,Network Team,Standard pricing
INV010,Security Systems Ltd,2023-04-05,"Hikvision IP Camera System",Security Equipment,199.99,25,4999.75,HIK-IP-CAM-4MP,"4MP resolution, night vision, weatherproof, PoE",2023-05-05,PO-2023-010,Security,Surveillance upgrade
